address,Latitude,Longitude,Accuracy Score,Accuracy Type,City,State,County,Zip,ACS Economics/Median household income/Total/Value,ACS Economics/Median household income/Total/Margin of error,ACS Demographics/Median age/Total/Value,ACS Demographics/Median age/Total/Margin of error,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: White alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Black or African American alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: American Indian and Alaska Native alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Asian alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone/Percentage
"2231 Green Ridge Drive,Richmond,Contra Costa County",37.963141,-122.296587,0.9,rooftop,El Sobrante,CA,Contra Costa County,94803.0,135063.0,23932.0,48.0,4.7,0.524,0.085,0.0,0.278,0.028
"740 Spring St.,Richmond,Contra Costa County",37.922267,-122.335606,0.9,rooftop,Richmond,CA,Contra Costa County,94804.0,37214.0,13731.0,20.8,9.9,0.0,0.445,0.0,0.141,0.0
"Parkway way Drive x Park Central,Richmond,Contra Costa County",37.932061,-121.691478,0.95,street_center,Brentwood,CA,Contra Costa County,94513.0,96607.0,62504.0,28.2,8.9,0.422,0.063,0.161,0.093,0.136
"MP: 10.75, SUB: Martinez,Richmond,Contra Costa County",37.767543,-122.171536,0.7,street_center,Oakland,CA,Alameda County,94605.0,75288.0,38359.0,33.2,4.8,0.228,0.413,0.0,0.309,0.011
"3110 regatta Blvd,Richmond,Contra Costa County",37.914071,-122.339687,1.0,rooftop,Richmond,CA,Contra Costa County,94804.0,142134.0,27685.0,49.3,12.4,0.324,0.358,0.01,0.214,0.0
"Castro Ranch Road & Conestoga Street,Richmond,Contra Costa County",37.963196,-122.255559,0.97,intersection,El Sobrante,CA,Contra Costa County,94803.0,,,,,,,,,
"Giant Rd / Atlas Rd ,Richmond,Contra Costa County",37.959573,-122.334131,0.5,place,San Pablo,CA,Contra Costa County,94806.0,,,,,,,,,
"MP: 16.6, SUB: Martinez,Richmond,Contra Costa County",38.013825,-121.805581,0.8,rooftop,Antioch,CA,Contra Costa County,94509.0,0.0,0.0,31.8,10.1,0.306,0.0,0.0,0.482,0.0
"Chevron Richmond Refinery - 841 Chevron Way,Richmond,Contra Costa County",37.92948,-122.386683,0.7,street_center,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"3151 Ricada Blvd ,Richmond,Contra Costa County",37.920033,-122.340146,1.0,rooftop,Richmond,CA,Contra Costa County,94804.0,37214.0,13731.0,20.8,9.9,0.0,0.445,0.0,0.141,0.0
"4003 Fleming Ave,Richmond,Contra Costa County",37.917204,-122.323423,1.0,range_interpolation,Richmond,CA,Contra Costa County,94804.0,37667.0,19582.0,33.4,3.7,0.106,0.664,0.0,0.128,0.013
"Chevron Pier, ,Richmond,Contra Costa County",37.92948,-122.386683,1.0,street_center,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"4010 Garvin,Richmond,Contra Costa County",37.943503,-122.329619,0.89,nearest_rooftop_match,Richmond,CA,Contra Costa County,94805.0,80144.0,26888.0,32.3,7.0,0.44,0.049,0.0,0.351,0.0
"780 Doran Dr, Doran Tunnel,Richmond,Contra Costa County",37.830975,-122.192052,0.7,street_center,Oakland,CA,Alameda County,94611.0,159848.0,15389.0,55.3,8.8,0.6,0.055,0.0,0.182,0.0
"1300 Canal Blvd,Richmond,Contra Costa County",37.912224,-122.365991,0.85,nearest_rooftop_match,Richmond,CA,Contra Costa County,94804.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
" Intersection of Regatta Blvd. & Morena Bay Parkway,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"Intersection of Regatta Blvd. & Morena Bay Parkway,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"Pierson Avenue,Richmond,Contra Costa County",37.917524,-122.35544,1.0,street_center,Richmond,CA,Contra Costa County,94804.0,107880.0,52395.0,39.9,3.9,0.336,0.414,0.0,0.132,0.017
"100 Chevron Way,Richmond,Contra Costa County",37.929548,-122.386144,1.0,range_interpolation,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"2315 Cutting Blvd,Richmond,Contra Costa County",37.925473,-122.34726,0.95,rooftop,Richmond,CA,Contra Costa County,94804.0,59840.0,16148.0,24.6,6.5,0.064,0.456,0.0,0.272,0.0
"2300 Cutting Blvd,Richmond,Contra Costa County",37.924923,-122.347323,0.95,rooftop,Richmond,CA,Contra Costa County,94804.0,37214.0,13731.0,20.8,9.9,0.0,0.445,0.0,0.141,0.0
"Regatta Way & Marina Bay Park Way,Richmond,Contra Costa County",37.91469,-122.344478,0.13,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"841 Chevron Way,Richmond,Contra Costa County",37.92948,-122.386683,0.7,street_center,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"600 13th Street,Richmond,Contra Costa County",37.939804,-122.357119,1.0,range_interpolation,Richmond,CA,Contra Costa County,94801.0,105795.0,59558.0,28.8,5.7,0.013,0.422,0.0,0.527,0.0
"Battery Street & Willard Avenue,Richmond,Contra Costa County",37.951245,-122.370664,1.0,intersection,Richmond,CA,Contra Costa County,94801.0,,,,,,,,,
"Potrero Ave and South 12th St,Richmond,Contra Costa County",37.92399,-122.358001,1.0,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"Hoffmann Blvd and South 8th St,Richmond,Contra Costa County",37.923097,-122.362005,1.0,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"4700 Hart Nett Ave,Richmond,Contra Costa County",37.916623,-122.32697,1.0,range_interpolation,Richmond,CA,Contra Costa County,94804.0,37667.0,19582.0,33.4,3.7,0.106,0.664,0.0,0.128,0.013
"Cutting Blvd and Marina Way South,Richmond,Contra Costa County",37.925204,-122.355873,0.4,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"Meeker Ave and Marina Bay Parkway,Richmond,Contra Costa County",37.920425,-122.347192,0.35,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"Pierson Ave and Marina Bay Parkway,Richmond,Contra Costa County",37.918171,-122.344852,0.33,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"23rd St and Cutting Blvd,Richmond,Contra Costa County",37.925193,-122.347665,0.8,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"Regatta Boulevard & Marina Bay Parkway,Richmond,Contra Costa County",37.91469,-122.344478,0.33,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"Canal Boulevard & Interstate 580,Richmond,Contra Costa County",37.927659,-122.37836,0.76,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"303 South Garrard Blvd.,Richmond,Contra Costa County",37.933892,-122.377516,1.0,rooftop,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"841 Chevron Way, Chevron Richmond Refinery,Richmond,Contra Costa County",37.92948,-122.386683,0.7,street_center,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"Dornan Road,Richmond,Contra Costa County",37.921193,-122.385733,1.0,street_center,Richmond,CA,Contra Costa County,94801.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"432 South 2nd Street,Richmond,Contra Costa County",37.926279,-122.367813,1.0,range_interpolation,Richmond,CA,Contra Costa County,94804.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"Marina Way South and Wright Ave,Richmond,Contra Costa County",37.921177,-122.355902,1.0,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"Cutting Blvd and South 1st St,Richmond,Contra Costa County",37.92526,-122.368956,1.0,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"Potrero Ave and South Eight,Richmond,Contra Costa County",37.924005,-122.362003,0.95,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"Regatta Blvd and Marina Bay Parkway,Richmond,Contra Costa County",37.91469,-122.344478,0.33,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"100 Cutting Blvd ,Richmond,Contra Costa County",37.922339,-122.369192,0.95,rooftop,Richmond,CA,Contra Costa County,94804.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"South of Interstate 580, off the Richmond Bridge, just North of Point Richmond (Tank Farm),Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"841 Chevron Way ,Richmond,Contra Costa County",37.92948,-122.386683,0.7,street_center,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"2377 Garden Tract Rd,Richmond,Contra Costa County",37.966832,-122.376261,1.0,range_interpolation,Richmond,CA,Contra Costa County,94801.0,55625.0,23524.0,29.3,3.9,0.381,0.398,0.0,0.088,0.0
"647 South 13th Street,Richmond,Contra Costa County",37.923078,-122.357261,1.0,rooftop,Richmond,CA,Contra Costa County,94804.0,107880.0,52395.0,39.9,3.9,0.336,0.414,0.0,0.132,0.017
"Meeker Ave at Marina Bay Parkway,Richmond,Contra Costa County",37.920425,-122.347192,0.35,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"4700 Hartnett Ave,Richmond,Contra Costa County",37.916623,-122.32697,1.0,range_interpolation,Richmond,CA,Contra Costa County,94804.0,37667.0,19582.0,33.4,3.7,0.106,0.664,0.0,0.128,0.013
"South 23rd Street, Cutting Blvd,Richmond,Contra Costa County",37.924565,-122.347518,1.0,street_center,Richmond,CA,Contra Costa County,94804.0,37214.0,13731.0,20.8,9.9,0.0,0.445,0.0,0.141,0.0
"2761 Rollingwood Drive,Richmond,Contra Costa County",37.965659,-122.334437,1.0,rooftop,San Pablo,CA,Contra Costa County,94806.0,137250.0,21823.0,35.0,7.2,0.064,0.102,0.0,0.763,0.0
"1340 MARINA WAY SOUTH ,Richmond,Contra Costa County",37.917326,-122.355774,1.0,range_interpolation,Richmond,CA,Contra Costa County,94804.0,107880.0,52395.0,39.9,3.9,0.336,0.414,0.0,0.132,0.017
