City,count
San Diego,5222
Los Angeles,2492
Long Beach,2054
Sacramento,2047
Bakersfield,1616
Oakland,1553
Stockton,1431
Bloomington,1368
Unincorporated county area,1316
San Bernardino,1299
San Francisco,1114
San Jose,1099
Richmond,1068
Fresno,946
Ontario,848
Roseville,792
Oxnard,790
Riverside,758
Santa Barbara,687
Fontana,674
Barstow,652
Santa Rosa,603
Wilmington,571
Santa Fe Springs,565
Elk Grove,561
Carson,537
Alameda,515
San Pedro,506
Victorville,447
South Lake Tahoe,444
Ventura,434
Eureka,432
Corona,432
Anaheim,424
Torrance,418
Martinez,411
Huntington Beach,410
Monterey,406
Hayward,404
Chula Vista,390
Orange,386
Santa Monica,385
Blythe,376
Tracy,375
Benicia,370
Commerce,370
Colton,365
West Sacramento,364
Redding,362
San Mateo,361
Oceanside,359
City of Industry,344
Vallejo,338
Salinas,338
San Luis Obispo,334
Hesperia,330
Carlsbad,327
Marina Del Rey,327
Modesto,306
Lodi,306
Unincorporated county area Kern Basin Area,303
Truckee,303
Irvine,286
Redwood City,280
Santa Maria,278
Lathrop,275
Kettleman City,272
Moreno Valley,270
Temecula,268
Goleta,263
Merced,258
San Leandro,256
Santa Ana,250
Pomona,247
Woodland,246
Napa,246
Fremont,243
Berkeley,240
Santa Clarita,235
McKittrick,235
Fairfield,234
Laguna Beach,234
Newport Beach,233
Perris,233
Yermo,231
Sausalito,230
Auburn,227
San Rafael,221
Murrieta,218
Santa Cruz,217
Rancho Cucamonga,217
Vacaville,212
Chino,211
Chico,207
Madera,207
Novato,205
Coronado,204
Rancho Cordova,200
Compton,196
Taft,195
Vernon,191
Antioch,191
Whittier,190
Apple Valley,189
Arvin,188
Rialto,186
Livermore,184
Tehachapi,183
Palmdale,183
Needles,181
Glendale,181
Escondido,180
Concord,179
Sonoma,179
Arcata,178
Petaluma,176
Pittsburg,175
El Segundo,175
Lancaster,173
Mira Loma,171
Santa Clara,171
Healdsburg,169
Morro Bay,169
El Dorado Hills,168
Turlock,167
Placerville,166
Morgan Hill,161
Unincorporated county area Santa Barbara,157
Fullerton,156
Red Bluff,155
El Cajon,155
Lake Elsinore,154
Manteca,152
Tulare,152
French Camp,151
Fort Bragg,150
Simi Valley,149
Palm Springs,148
Visalia,148
Montebello,147
Rodeo,147
Clearlake,146
South San Francisco,145
Half Moon Bay,144
National City,142
Unincorporated county area San Joaquin,142
Gardena,141
Redlands,139
Winchester,139
Pico Rivera,138
Lompoc,137
Camarillo,136
Grass Valley,136
Downey,135
Costa Mesa,135
Sunnyvale,135
Fallbrook,134
Hemet,134
Burbank,133
Redondo Beach,133
Menifee,131
Hillsborough,130
Brawley,130
Camp Pendleton,128
Hanford,127
Crescent City,127
Pleasanton,127
San Marcos,127
Bodega Bay,127
Ione,124
Beaumont,124
Terminal Island,124
San Clemente,124
Dixon,122
Encinitas,122
Gilroy,122
Mountain Pass,122
Fellows,121
Palm Desert,121
Malibu,121
Folsom,121
Unincorporated county area San Bernardino Northern area,121
Citrus Heights,120
Oroville,120
Lake Forest(1),118
Moss Landing,117
Lakeport,117
Unincorporated county area Los Angeles except Ant Valley,116
Adelanto,116
Santa Paula,114
Vista,114
Rancho Palos Verdes,113
Mojave,112
Lost Hills,112
Banning,112
Indio,111
Seaside,111
Inglewood,111
San Anselmo,111
Palo Alto,109
Carpinteria,108
Emeryville,108
Port Hueneme,108
Colfax,106
Unincorporated county area Sacramento,105
Aptos,105
Dana Point,105
Mill Valley,104
Yorba Linda,104
Paso Robles,102
Milpitas,102
Pasadena,102
Garden Grove,101
Lebec,99
Paramount,99
Castaic,98
Van Nuys,98
Newark,98
Burlingame,97
Lincoln,97
Yuba City,97
Atwater,97
Isleton,97
La Verne,96
Anderson,96
San Ramon,96
Carmel,96
Thousand Oaks,95
Willits,95
Unincorporated county area Ventura,95
Carmichael,95
Marysville,94
Canyon Lake,94
Buena Park,93
Alhambra,92
Pinole,92
Spring Valley,92
Tahoe City,92
Castro Valley,91
Crockett,91
Oakley,91
Oakdale,90
El Monte,90
Suisun City,89
Unincorporated county area San Diego,89
Davis,89
Windsor,88
Baldwin Park,87
Pacific Grove,87
Discovery Bay,86
Diamond Bar,86
Sun Valley,86
Rio Vista,85
San Bruno,85
Shafter,85
Coachella,84
Nipton,84
Fair Oaks,84
Los Gatos,84
Tustin,83
Brea,83
Watsonville,83
Wasco,83
Baker,83
Freeport,82
City of Commerce,82
Cupertino,81
Angels Camp,81
Ukiah,81
Sylmar,80
Daly City,80
Coalinga,80
Santee,79
Unincorporated county area Fresno,79
Mountain View,79
San Dimas,79
Jurupa Valley,78
Ripon,78
Rohnert Park,78
Arroyo Grande,77
Chino Hills,77
La Jolla,77
Mission Viejo,77
Corning,77
La Mesa,77
Dublin,76
Laguna Niguel,75
Arcadia,75
Unincorporated county area Kern Eastern Portion,75
Buttonwillow,75
Soledad,75
Santa Nella,75
Ludlow,74
Sonora,74
Hollister,74
Sunol,74
Maricopa,73
Upland,72
Norco,72
Murphys,72
Unincorporated Area,72
Beverly Hills,71
Boron,71
Los Banos,71
Fortuna,71
San Pablo,71
Larkspur,71
Brentwood,71
Weed,70
Union City,70
South Gate,70
Lemoore,70
Selma,70
Greenfield,69
Rocklin,68
Desert Center,68
Glendora,68
Bethel Island,68
Escalon,68
La Mirada,68
Delano,67
American Canyon,67
Tupman,67
Unincorporated county area Riverside Eastern area,66
San Lorenzo,66
El Centro,66
Unincorporated county area Monterey,65
Susanville,63
Unincorporated county area Humboldt,63
Clovis,63
Pleasant Hill,63
Willows,62
Pacifica,62
Irwindale,62
North Hollywood,62
Poway,62
Lakewood,61
West Hollywood,61
San Jacinto,61
Norwalk,61
Galt,61
Livingston,60
Hawthorne,60
Nevada City,60
Tiburon,59
Northridge,59
Westminster,59
Cathedral City,59
Beale Air Force Base,59
Sebastopol,59
Lakeside,59
Corcoran,59
Clearlake Oaks,58
Yucaipa,58
Unincorporated county area Riverside Western portion,58
Scotts Valley,57
Manhattan Beach,57
Hinkley,57
Penn Valley,57
Ceres,57
Bishop,56
Valencia,56
Campbell,56
San Fernando,56
Middletown,56
Sanger,56
Danville,56
Brisbane,55
Orland,55
Chowchilla,55
San Ardo,55
Moorpark,55
West Covina,55
La Habra,55
Lake Arrowhead,55
Fillmore,55
Unincorporated county area San Bernardino Western portion,55
Daggett,54
Mount Shasta,54
Walnut Creek,54
Desert Hot Springs,54
Calabasas,54
Montclair,54
Yreka,54
Big Bear Lake,53
North Highlands,53
Twentynine Palms,53
Menlo Park,53
Signal Hill,53
Porterville,52
McKinleyville,52
Lakehead,52
Unincorporated county area Shasta,52
Seal Beach,51
Firebaugh,51
Lucerne Valley,51
Imperial,51
Acampo,50
San Juan Capistrano,50
Portola,50
Kingsburg,50
Placentia,49
Avila Beach,49
Covina,49
Avalon,48
Palos Verdes,48
Fowler,48
San Carlos,48
Big Bear City,48
Kentfield,47
Unincorporated county area Orange,47
Calipatria,47
San Francisco International Airport,47
McFarland,47
Cabazon,47
Sutter Creek,47
Guerneville,47
Imperial Beach,46
San Gabriel,46
Newhall,46
Rio Linda,46
Antelope,46
Culver City,46
Wildomar,46
Saint Helena,46
Altadena,46
Azusa,46
Chatsworth,46
Fountain Valley,45
Unincorporated county area Imperial,45
Unincorporated county area Alameda,45
Cottonwood,45
Derby Acres,45
Newberry Springs,45
Marina,45
Orcutt,44
Hacienda Heights,44
Fairfax,44
Albany,44
Claremont,43
East Los Angeles,43
Montecito,43
Pacoima,43
Mammoth Lakes,43
Caliente,43
Walnut Grove,43
Jurupa,43
Highland,43
Jamestown,43
Ferndale,42
Unincorporated county area San Mateo,42
Rosemead,42
Unincorporated county area Yolo,42
San Andreas,42
Orinda,41
Calexico,41
Dunsmuir,41
Bellflower,41
Trona,41
Ojai,41
Castroville,41
Point Loma,41
Capitola,41
Shasta Lake,41
Granite Bay,40
Orangevale,40
Unincorporated county area Marin,40
Palos Verdes Estates,40
Agoura Hills,40
Kerman,40
Playa Del Rey,39
Lafayette,39
Dinuba,39
La Puente,39
Mecca,38
Lamont,38
King City,38
Salton City,38
Phelan,38
Rancho Mirage,38
Millbrae,38
Yucca Valley,38
South Pasadena,37
Nipomo,37
Cameron Park,37
Lemon Grove,37
Reedley,37
Kelseyville,37
Atascadero,37
La Canada,36
Quincy,36
Del Mar,36
Unincorporated county area Sonoma Northern portion,36
Riverbank,36
Lynwood,36
Fort Irwin,36
Unincorporated county area Contra Costa,36
Los Altos Hills,35
Kings Beach,35
Winters,35
Pismo Beach,35
Gustine,35
Summerland,35
Lucerne,34
Goshen,34
Cambria,34
Devore,34
Harbor City,34
Unincorporated county area Merced,34
Unincorporated county area Madera,34
Unincorporated county area Mendocino,34
Unincorporated county area Santa Clara,34
Unincorporated county area El Dorado,34
Granada Hills,33
Monrovia,33
Foster City,33
Linden,33
McClellan Air Force Base,33
Unincorporated county area San Luis Obispo,33
Rosamond,33
Niland,33
Monterey Park,33
Walnut,33
Homewood,32
Patterson,32
Garberville,32
Mariposa,32
Greenbrae,32
Upper Lake,32
Ramona,32
Laytonville,32
Tahoe Vista,31
Olivehurst,31
Lawndale,31
Huntington Park,31
Stanton,31
Unincorporated county area Placer,31
Boulder Creek,31
California City,31
La Quinta,30
Cypress,30
Unincorporated county area Siskiyou,30
Shaver Lake,30
Jackson,30
Hercules,30
Alta,30
Paradise,30
Carnelian Bay,30
Alpine,30
Woodside,30
29 Palms,29
Gold Run,29
Redwood Valley,29
Oakhurst,29
Venice,29
Ridgecrest,29
Trinidad,29
Pixley,29
Thermal,29
Gonzales,29
Westlake Village,29
Groveland,29
Saratoga,29
Guadalupe,28
El Dorado,28
Unincorporated county area Tulare,28
Loleta,28
Cerritos,28
Hilmar,28
San Juan Bautista,28
Lomita,27
Solana Beach,27
Rio Dell,27
Crestline,27
Pajaro,27
Wheatland,26
Unincorporated county area Placer West of Donner Lake,26
Herald,26
Loomis,26
Pollock Pines,26
Unincorporated county area Los Angeles Antelope Valley,26
Cloverdale,26
Loma Linda,26
Grover Beach,25
Acton,25
Unincorporated county area Lake,25
Lindsay,25
Samoa,25
Hermosa Beach,25
Avenal,25
Hornbrook,25
Sun City,25
Bass Lake,25
Holtville,25
Twain Harte,25
Live Oak,24
Unincorporated county area Napa,24
Mendocino,24
Bridgeport,24
Los Alamitos,24
Soda Springs,24
Calistoga,24
Valley Center,24
Byron,24
Chualar,24
Mettler,24
Tipton,24
Pope Valley,24
Bodega,24
Newcastle,24
Thousand Palms,24
Unincorporated county area Nevada,23
Williams,23
Exeter,23
Laguna Hills,23
Winterhaven,23
SAN DIEGO,23
Lower Lake,23
Unincorporated county area Plumas,23
Belmont,23
Unincorporated county area Kings,23
South El Monte,23
Cobb,23
Rancho Murieta,23
Helendale,23
El Sobrante,22
Oro Grande,22
New Cuyama,22
Willow Creek,22
Piru,22
Tahoma,22
Thornton,22
Sherman Oaks,22
Point Mugu Naval Air Station,22
Earlimart,22
Hollywood,22
Valley Springs,22
Unincorporated,22
Unincorporated county area Sutter,22
Tuolumne,21
Cayucos,21
Auberry,21
Rolling Hills Estates,21
Canyon Country,21
Bay Point,21
Frazier Park,21
Los Altos,21
Unincorporated county area Tuolumne,21
El Cerrito(1),21
Los Osos,20
Terra Bella,20
Redway,20
Blue Lake,20
Gridley,20
Penngrove,20
Oceano,20
Arnold,20
Calimesa,20
Aliso Viejo,20
Strathmore,19
Carmel Valley,19
Cordelia,19
Unincorporated county area Solano Eastern portion,19
Copperopolis,19
Yountville,19
Bonsall,19
Corona Del Mar,19
Laguna Woods,19
Nice,19
La Canada Flintridge,19
Unincorporated county area Lassen,19
Leggett,19
Buellton,19
Somis,19
Mendota,19
Winton,19
Essex,18
Gaviota,18
La Habra Heights,18
Unincorporated county area Tehama,18
Ballico,18
Westley,18
Pleasant Grove,18
Foresthill,18
Le Grand,18
Geyserville,18
Corte Madera,18
Running Springs,18
Santa Margarita,18
Duarte,18
Forestville,18
Travis AFB,18
Gorman,18
North Palm Springs,18
Kirkwood,18
Rowland Heights,18
Represa,17
Traver,17
Templeton,17
Maywood,17
Cajon,17
Universal City,17
Delhi,17
Springville(1),17
Unincorporated county area Santa Cruz,17
Littlerock,17
Nuevo,17
Alamo,17
Figarden,17
Newman,17
Orosi,17
Unincorporated county area Amador,17
San Martin,17
Shingle Springs,17
Grand Terrace,17
Colusa,16
Hopland,16
Bradley,16
Woodbridge,16
Shingletown,16
Catalina,16
Carlotta,16
Prunedale,16
Woodland Hills,16
Covelo,16
Moss Beach,16
Unincorporated county area Butte,16
Clarksburg,16
Death Valley,16
Alturas,16
Orick,16
Chester,16
Agoura,16
Caruthers,16
Bell Gardens,16
Norden,16
Knightsen,15
Dunnigan,15
Ocotillo,15
Felton,15
Belvedere,15
Aromas,15
Hayfork,15
Unincorporated county area San Francisco,15
Encino,15
Burney,15
Whitewater,15
Unincorporated county area Sonoma Southern Portion,15
Portola Valley,15
Cotati,15
Klamath,15
Lenwood,15
Wilton,15
Oak Hills,15
Point Reyes Station,15
Castella,14
Mexico,14
North Hills,14
La Crescenta,14
Shasta,14
Elmira,14
Unincorporated county area Inyo,14
Idyllwild,14
Cuyama,14
Keene,14
Indian Wells,14
Unincorporated county area Mono,14
Glen Ellen,14
Canoga Park,14
Temple City,14
Newbury Park,14
El Nido,14
Unincorporated county area Colusa,14
Woodlake,14
San Ysidro,14
Planada,13
Treasure Island Naval Base,13
Clayton,13
Emigrant Gap,13
East Palo Alto,13
Amboy,13
Unincorporated county area Stanislaus,13
Floriston,13
Amador City,13
Denair,13
Dutch Flat,13
Hughson,13
Montara,13
Huron,13
Los Angeles International Airport,13
Pacific Palisades,13
Unincorporated county area Nevada West of Donner Lake,13
Moraga,13
Lytle Creek,13
Rowland heights,13
Unincorporated county area Del Norte,13
Atherton,13
South Lake,13
Salida,13
Tulelake,12
Isla vista,12
Maxwell,12
Big Sur,12
Unincorporated county area Placer East of Donner Lake,12
Cool,12
La Grange,12
Bell,12
North Fork,12
Rancho Dominguez,12
El Granada,12
Bolinas,12
Highgrove,12
Pioneer Station,12
Rolling Hills,12
Kensington,12
Anchor Bay,12
Riverdale,12
Marin City,12
Atwood,12
Unincorporated county area Mariposa,12
Joshua Tree,12
Sutter,12
Crows Landing,12
Durham,12
Unincorporated county area Yuba,12
West Los Angeles,12
Shelter Cove,12
Tarzana,12
Unincorporated county area Solano Western Portion,12
Soquel,12
Greenville(1),12
Independence,12
Muscoy,11
Wofford Heights,11
Smartville,11
Cantua Creek,11
San Simeon,11
Unincorporated county area Trinity,11
Plymouth,11
Palo Cedro,11
Vina,11
Friant,11
Pacheco,11
Holt,11
Ross,11
Sunland,11
Santa Ynez,11
Edison,11
Tomales,11
Lewiston,11
Alpaugh,11
Unincorporated county area San Benito,11
Waterford,11
Romoland,11
Clements,11
Inyokern,10
Scotia,10
Parlier,10
Montrose,10
Elverta,10
Rancho Santa Fe,10
Blairsden,10
Doyle,10
Studio City,10
Moreno,10
Albion,10
Happy Camp,10
Dorris,10
Big Creek,10
Petrolia,10
Colma,10
Gasquet,10
Trabuco Canyon,10
Los Olivos,10
Mokelumne Hill,10
Rancho Santa Margarita,10
Lockeford,10
Edwards Air Force Base,10
Calwa,10
LOS ANGELES,10
Grapevine,10
Stinson Beach,10
Keyes,10
Los Alamos,10
Stratford,10
Heber,10
Hidden Hills,10
Helm,10
Lakeshore(1),9
Hamilton City,9
Chiriaco Summit,9
Miranda,9
Richvale,9
Dos Palos Wye,9
Bridgeville,9
Kramer,9
San Joaquin,9
Stanford,9
Mentone,9
Alviso,9
Diamond Springs,9
Camino,9
Orange Cove,9
Panorama City,9
Cardiff,9
Goffs,9
Kyburz,9
Mather Air Force Base,9
Fawnskin,9
Kramer Junction,9
Rubidoux,9
Pinon Hills,9
Cima,9
Weaverville,9
SAN PEDRO,9
Pacific Beach,9
Port Chicago,9
Lone Pine,9
Macdoel,9
Point Arena,9
Sierra Madre,9
Occidental,9
Big Pine,9
Loyalton,9
Bonita,9
Bayside,9
March Air Force Base,8
Arlington,8
Florin,8
Cadiz,8
Coulterville,8
Glamis,8
Malaga,8
Unincorporated county area Alpine,8
Biggs,8
Mountain House,8
Monte Rio,8
